SKU_ID,Product_Name,Merchant_SKU_ID,Merchant_SKU_Name,Product_Type,Meta Category,Cost,MRP,price,Block_qty,Ordered_qty,Available_promise_qty,Total_Qty,Warehouse,TTWH,status,HSN Code,Image,Qty Sold in last 30 days,Days on Hand
FN1926352-S-PM9338,Gorgona Fabric 3 Seater Sofa in Beige Colour,1000007706063_9338,Albury Three Seater Textured Sofa_9338,simple,Furniture,21840,63999,47499,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/g/o/60x66/gorgona-fabric-3-seater-sofa-in-beige-colour-gorgona-fabric-3-seater-sofa-in-beige-colour-mjj6sw.jpg,0,0
FN1926357-S-PM9338,Gorgona Fabric 3 Seater Sofa in Brown Colour,1000008586375_9338,Albury Textured 3-Seater Sofa_9338,simple,Furniture,21840,63999,47499,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/g/o/60x66/gorgona-fabric-3-seater-sofa-in-brown-colour-gorgona-fabric-3-seater-sofa-in-brown-colour-opvkzn.jpg,0,0
FN1926358-S-PM9338,Becker Fabric 3 Seater Sofa in Brown Colour,1000007823417_9338,BENDIGO Three-Seater Sofa_9338,simple,Furniture,36720,107465,79899,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/b/e/60x66/becker-fabric-3-seater-sofa-in-brown-colour-becker-fabric-3-seater-sofa-in-brown-colour-iqpjvj.jpg,0,0
FN1926359-S-PM9338,Becker  Leatherette 2 Seater Sofa in Brown Colour,1000007823419_9338,BENDIGO 2-Seater Half Leather Sofa_9338,simple,Furniture,32016,93732,69599,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/b/e/60x66/becker--leatherette-2-seater-sofa-in-brown-colour-becker--leatherette-2-seater-sofa-in-brown-colour-iivtlr.jpg,0,0
FN1926380-S-PM9338,Aironstyle Fabric 1 Seater Sofa in Beige Colour,1000008898222_9338,Santiago One Seater Sofa_9338,simple,Furniture,16368,47999,35599,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/a/i/60x66/aironstyle-fabric-1-seater-sofa-in-beige-colour-aironstyle-fabric-1-seater-sofa-in-beige-colour-n8khnz.jpg,0,0
FN1926381-S-PM9338,Marcus Fabric 2 Seater Sofa in Beige Colour,1000008898202_9338,Antonio Two-Seater Sofa_9338,simple,Furniture,28944,84665,62999,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/m/a/60x66/marcus-fabric-2-seater-sofa-in-beige-colour-marcus-fabric-2-seater-sofa-in-beige-colour-46w3we.jpg,0,0
FN1926383-S-PM9338,Northlay  Fabric 3 Seater Sofa in Beige Colour,1000008898198_9338,Aries Solid Three-Seater Sofa_9338,simple,Furniture,37536,109865,81599,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/n/o/60x66/northlay--fabric-3-seater-sofa-in-beige-colour-northlay--fabric-3-seater-sofa-in-beige-colour-dtzykj.jpg,0,0
FN1926384-S-PM9338,Collomotiva Fabric 2 Seater Sofa in Brown Colour,1000008898204_9338,Jesebel Two-Seater Sofa_9338,simple,Furniture,23472,68665,51099,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/c/o/60x66/collomotiva-fabric-2-seater-sofa-in-brown-colour-collomotiva-fabric-2-seater-sofa-in-brown-colour-jppeqz.jpg,0,0
FN1926392-S-PM9338,Pedriate  Fabric 1 Seater Sofa in Beige Colour,1000008898236_9338,Kassel One-Seater Sofa_9338,simple,Furniture,14064,41199,30599,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/p/e/60x66/pedriate--fabric-1-seater-sofa-in-beige-colour-pedriate--fabric-1-seater-sofa-in-beige-colour-rwnkak.jpg,0,0
FN1926393-S-PM9338,Pedriate  Fabric 2 Seater Sofa in Black Colour,1000009011692_9338,Kassel Solid Two-Seater Sofa_9338,simple,Furniture,19536,57199,42499,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/p/e/60x66/pedriate--fabric-2-seater-sofa-in-black-colour-pedriate--fabric-2-seater-sofa-in-black-colour-gxijo3.jpg,0,0
FN1926394-S-PM9338,Northlay  Fabric 2 Seater Sofa in Beige Colour,1000008898212_9338,Aries Two-Seater Sofa_9338,simple,Furniture,28944,84665,62999,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/n/o/60x66/northlay--fabric-2-seater-sofa-in-beige-colour-northlay--fabric-2-seater-sofa-in-beige-colour-9t5idx.jpg,0,0
FN1926395-S-PM9338,Collomotiva Fabric 3 Seater Sofa in Brown Colour,1000008898190_9338,Jesebel Textured Three-Seater Sofa_9338,simple,Furniture,31248,91465,67999,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/c/o/60x66/collomotiva-fabric-3-seater-sofa-in-brown-colour-collomotiva-fabric-3-seater-sofa-in-brown-colour-pk48qc.jpg,0,0
FN1926428-S-PM9338,Frontrow  Fabric Slipper Chair in Beige Colour,1000008390998_9338,Noa Rotating Chair_9338,simple,Furniture,14544,42532,31699,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/n/o/60x66/noa-rocking-chair-in-beige-colour-by-home-centre-noa-rocking-chair-in-beige-colour-by-home-centre-ppbo8o.jpg,0,0
FN1926439-S-PM9338,Ion  Fabric 3 Seater Sofa in Beige Colour,1000004199846_9338,Montoya Serene Fabric Sofa-3 Seater Beige_9338,simple,Furniture,20304,59465,44199,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/i/o/60x66/ion--fabric-3-seater-sofa-in-beige-colour-ion--fabric-3-seater-sofa-in-beige-colour-wncfjq.jpg,0,0
FN1926450-S-PM9338,Ion  Fabric LHS Sectional Sofa in Beige Colour,1000004556269_9338,Montoya Right Side Corner Sofa Set_9338,simple,Furniture,35184,102932,76499,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/i/o/60x66/ion--fabric-lhs-sectional-sofa-in-beige-colour-ion--fabric-lhs-sectional-sofa-in-beige-colour-socppp.jpg,0,0
FN1926457-S-PM9338,Felacia Fabric 2 Seater RHS Sectional Sofa in Brown Colour,1000005772521_9338,Signature Arden Fabric Right Arm Sofa -2 Seater Brown_9338,simple,Furniture,15696,45999,34199,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/f/e/60x66/felacia-fabric-2-seater-rhs-sectional-sofa-in-brown-colour-felacia-fabric-2-seater-rhs-sectional-sof-zxyyeq.jpg,0,0
FN1926458-S-PM9338,Felacia  Fabric 2 Seater Sofa in Brown Colour,1000005772523_9338,Signature Arden Fabric Ar ml.ess Sofa -2 Seater Brown_9338,simple,Furniture,14496,42399,31599,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/s/i/60x66/signature--2-seater-sofa-in-brown-colour-by-home-centre-signature--2-seater-sofa-in-brown-colour-by--7q1fng.jpg,0,0
FN1926466-S-PM9338,Ion  Fabric 2 Seater Sofa in Beige Colour,1000004199850_9338,Montoya Serene 2-Seater Sofa._9338,simple,Furniture,14832,43465,32299,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/i/o/60x66/ion--fabric-2-seater-sofa-in-beige-colour-ion--fabric-2-seater-sofa-in-beige-colour-rpyvco.jpg,0,0
FN1926486-S-PM9338,Edgewynk  Fabric 2 Seater Sofa in Beige Colour,1000006716127_9338,Petals Faux Leather Sofa- 2 Seater_9338,simple,Furniture,25776,75465,56099,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/e/d/60x66/edgewynk--fabric-2-seater-sofa-in-beige-colour-edgewynk--fabric-2-seater-sofa-in-beige-colour-t5cklt.jpg,0,0
FN1926487-S-PM9338,Edgewynk Fabric 3 Seater Sofa in Beige Colour,1000006716125_9338,Petals Faux Leather Sofa- 3 Seater_9338,simple,Furniture,32784,95999,71299,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/e/d/60x66/edgewynk-fabric-3-seater-sofa-in-beige-colour-edgewynk-fabric-3-seater-sofa-in-beige-colour-1l4eeu.jpg,0,0
FN1926499-S-PM9338,Woodbling  Fabric 3 Seater LHS Sectional Sofa in Brown Colour,1000006917459_9338,Emily 3-Seater Corner Sofa Set with Lounge - Right Corner_9338,simple,Furniture,31539,75998,37999,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/e/m/60x66/emily-3-seater-lhs-sofa-in-brown-colour-by-home-centre-emily-3-seater-lhs-sofa-in-brown-colour-by-ho-ss551o.jpg,0,0
FN1926501-S-PM9338,Felacia  Fabric 1 Seater Sofa in Brown Colour,1000005772765_9338,Signature Arden Fabric Arm Chair_9338,simple,Furniture,9360,27465,20399,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/f/e/60x66/felacia--fabric-1-seater-sofa-in-brown-colour-felacia--fabric-1-seater-sofa-in-brown-colour-weiavf.jpg,0,0
FN1926509-S-PM9338,Popwhop  Fabric 2 Seater Sofa in Grey Colour,1000010315349_9338,Repton Fabric Two-Seater Sofa - 143 cm_9338,simple,Furniture,10896,31999,23699,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/r/e/60x66/repton-2-seater-sofa-in-grey-colour-by-home-centre-repton-2-seater-sofa-in-grey-colour-by-home-centr-ltjp5p.jpg,0,0
FN1926513-S-PM9338,Popwhop  Fabric 1 Seater Sofa in Grey Colour,1000010315331_9338,Repton Fabric One-Seater Sofa - 89 cm_9338,simple,Furniture,6624,19465,14399,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/r/e/60x66/repton-1-seater-sofa-in-grey-colour-by-home-centre-repton-1-seater-sofa-in-grey-colour-by-home-centr-6gkfvw.jpg,0,0
FN1926514-S-PM9338,Popwhop  Fabric 3 Seater Sofa in Grey Colour,1000010315377_9338,Repton FabricThree-Seater Sofa - 196 cm_9338,simple,Furniture,13296,38932,28999,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/r/e/60x66/repton-3-seater-sofa-in-grey-colour-by-home-centre-repton-3-seater-sofa-in-grey-colour-by-home-centr-snoqgb.jpg,0,0
FN1926515-S-PM9338,Parteta  Fabric 2 Seater Sofa in Brown Colour,1000010315357_9338,Rother Fabric Two-Seater Sofa - 145 cm_9338,simple,Furniture,9264,27199,20199,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/r/o/60x66/rother-2-seater-sofa-in-brown-colour-by-home-centre-rother-2-seater-sofa-in-brown-colour-by-home-cen-6hnnaz.jpg,0,0
